Brass-1	Brass-2	Brass-3	Brass-4	Brass-5	Copper-1	Copper-2	Copper-3	Copper-4	Copper-5	Steel-1	Steel-2	Steel-3	Steel-4	Steel-5	Aluminum-1	Aluminum-2	Aluminum-3	Aluminum-4	Aluminum-5	
°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	
 2.599079e+001	 2.771650e+001	 3.298150e+001	 4.432211e+001	 6.809223e+001	 4.046612e+001	 4.134524e+001	 4.463943e+001	 5.039673e+001	 5.945621e+001	 2.158806e+001	 2.181079e+001	 2.229268e+001	 2.340774e+001	 5.156097e+001	 2.286632e+001	 2.285478e+001	 2.402014e+001	 2.685517e+001	 3.738847e+001	
 2.600202e+001	 2.774987e+001	 3.299324e+001	 4.434816e+001	 6.812360e+001	 4.050828e+001	 4.137597e+001	 4.465873e+001	 5.047091e+001	 5.954531e+001	 2.163830e+001	 2.181280e+001	 2.232838e+001	 2.343990e+001	 5.157036e+001	 2.289182e+001	 2.289474e+001	 2.405221e+001	 2.688251e+001	 3.743983e+001	
 2.605106e+001	 2.773296e+001	 3.301616e+001	 4.435245e+001	 6.815421e+001	 4.049782e+001	 4.136880e+001	 4.469414e+001	 5.051231e+001	 5.954446e+001	 2.161000e+001	 2.182211e+001	 2.232317e+001	 2.342015e+001	 5.159415e+001	 2.290746e+001	 2.290389e+001	 2.408095e+001	 2.690066e+001	 3.744781e+001	
 2.604987e+001	 2.775359e+001	 3.303672e+001	 4.437967e+001	 6.816637e+001	 4.052324e+001	 4.138000e+001	 4.469827e+001	 5.054441e+001	 5.959653e+001	 2.167087e+001	 2.183398e+001	 2.229349e+001	 2.340852e+001	 5.152317e+001	 2.285600e+001	 2.285975e+001	 2.403667e+001	 2.687539e+001	 3.744081e+001	
 2.607137e+001	 2.778197e+001	 3.302820e+001	 4.441379e+001	 6.820151e+001	 4.056698e+001	 4.141627e+001	 4.469492e+001	 5.053382e+001	 5.956871e+001	 2.164830e+001	 2.179661e+001	 2.228601e+001	 2.339369e+001	 5.151283e+001	 2.282778e+001	 2.283875e+001	 2.406387e+001	 2.692370e+001	 3.742359e+001	
 2.605049e+001	 2.776481e+001	 3.303301e+001	 4.437214e+001	 6.823960e+001	 4.055901e+001	 4.144371e+001	 4.471108e+001	 5.051109e+001	 5.959412e+001	 2.160996e+001	 2.175453e+001	 2.224017e+001	 2.335155e+001	 5.150819e+001	 2.281507e+001	 2.286370e+001	 2.401475e+001	 2.683953e+001	 3.746661e+001	
 2.607483e+001	 2.776024e+001	 3.303964e+001	 4.439317e+001	 6.825962e+001	 4.062233e+001	 4.148169e+001	 4.473396e+001	 5.051264e+001	 5.963987e+001	 2.159748e+001	 2.182002e+001	 2.235758e+001	 2.340913e+001	 5.155860e+001	 2.286922e+001	 2.288723e+001	 2.407842e+001	 2.689743e+001	 3.742605e+001	
 2.610766e+001	 2.777803e+001	 3.305700e+001	 4.441689e+001	 6.826815e+001	 4.061425e+001	 4.149868e+001	 4.469814e+001	 5.056789e+001	 5.968376e+001	 2.163932e+001	 2.177990e+001	 2.228390e+001	 2.341736e+001	 5.158379e+001	 2.286330e+001	 2.286295e+001	 2.407302e+001	 2.688145e+001	 3.743923e+001	
 2.610415e+001	 2.780641e+001	 3.305889e+001	 4.444283e+001	 6.829838e+001	 4.066587e+001	 4.150768e+001	 4.478421e+001	 5.056319e+001	 5.966912e+001	 2.160449e+001	 2.180833e+001	 2.233092e+001	 2.338985e+001	 5.164890e+001	 2.289324e+001	 2.288884e+001	 2.407996e+001	 2.689522e+001	 3.744168e+001	
 2.613698e+001	 2.778897e+001	 3.310427e+001	 4.447019e+001	 6.831142e+001	 4.069418e+001	 4.155384e+001	 4.478043e+001	 5.059441e+001	 5.970998e+001	 2.163056e+001	 2.178576e+001	 2.231557e+001	 2.342269e+001	 5.160956e+001	 2.284515e+001	 2.289302e+001	 2.407683e+001	 2.691053e+001	 3.747111e+001	
 2.612081e+001	 2.779162e+001	 3.309290e+001	 4.446320e+001	 6.832549e+001	 4.074528e+001	 4.155201e+001	 4.480378e+001	 5.063589e+001	 5.972039e+001	 2.163041e+001	 2.181530e+001	 2.233010e+001	 2.341849e+001	 5.162650e+001	 2.289697e+001	 2.288439e+001	 2.408223e+001	 2.690768e+001	 3.746392e+001	
